time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
3.819000,0.057461,0.167594,9.849746,-0.001065,-0.000533,0.004261
3.820000,0.045490,0.169988,9.847351,-0.000533,-0.000533,0.005859
3.822000,0.038307,0.177171,9.854534,-0.001598,-0.001065,0.005326
3.823000,0.038307,0.174777,9.854534,-0.001598,-0.001065,0.005326
3.824000,0.035913,0.169988,9.849746,-0.001598,-0.001065,0.005326
3.825000,0.035913,0.174777,9.849746,-0.001598,-0.001065,0.004794
3.827000,0.047884,0.181959,9.847351,-0.001598,-0.000533,0.005326
3.828000,0.052672,0.184354,9.847351,-0.002131,-0.000533,0.005326
3.829000,0.040701,0.179565,9.852140,-0.002663,-0.000533,0.004794
3.830000,0.033519,0.172383,9.856928,-0.002131,-0.001598,0.005326
3.832000,0.038307,0.167594,9.832986,-0.001598,-0.001065,0.004794
3.833000,0.045490,0.165200,9.835380,-0.002131,-0.000533,0.005326
3.834000,0.045490,0.160412,9.842563,-0.002663,-0.001065,0.005859
3.835000,0.043096,0.162806,9.844957,-0.002663,-0.001065,0.004794
3.837000,0.050278,0.179565,9.861717,-0.002131,-0.001065,0.005859
3.838000,0.047884,0.186748,9.859322,-0.002131,-0.001065,0.005859
3.839000,0.045490,0.184354,9.856928,-0.002663,-0.000533,0.005326
3.840000,0.043096,0.177171,9.856928,-0.002663,0.000000,0.005326
3.842000,0.050278,0.179565,9.837775,-0.002131,-0.000533,0.004794
3.843000,0.045490,0.181959,9.842563,-0.002131,-0.000533,0.004794
3.844000,0.038307,0.179565,9.847351,-0.002131,-0.001065,0.005326
3.845000,0.045490,0.177171,9.844957,-0.002131,-0.001598,0.005859
3.847000,0.055067,0.181959,9.844957,-0.002131,-0.000533,0.003728
3.848000,0.055067,0.179565,9.842563,-0.001598,-0.001065,0.004261
3.849000,0.050278,0.172383,9.849746,-0.001598,-0.001598,0.005859
3.850000,0.038307,0.177171,9.852140,-0.002131,-0.002131,0.005859
3.852000,0.043096,0.189142,9.832986,-0.002131,-0.001598,0.005859
3.853000,0.043096,0.186748,9.837775,-0.002131,-0.001598,0.006392
3.854000,0.040701,0.179565,9.842563,-0.002131,-0.001598,0.006392
3.855000,0.040701,0.169988,9.852140,-0.002131,-0.000533,0.005326
3.857000,0.040701,0.186748,9.854534,-0.002663,-0.001065,0.004261
3.858000,0.045490,0.181959,9.852140,-0.002131,-0.000533,0.005326
3.859000,0.052672,0.174777,9.861717,-0.002131,-0.000533,0.006392
3.860000,0.050278,0.179565,9.852140,-0.002663,-0.000533,0.006392
3.862000,0.035913,0.189142,9.849746,-0.002663,-0.000533,0.005859
3.863000,0.043096,0.184354,9.861717,-0.002663,-0.001065,0.005326
3.864000,0.050278,0.179565,9.849746,-0.002663,-0.001065,0.005326
3.865000,0.047884,0.179565,9.840169,-0.002663,-0.001065,0.005326
3.867000,0.045490,0.167594,9.840169,-0.004261,-0.000533,0.005326
3.868000,0.045490,0.174777,9.844957,-0.004261,-0.001065,0.004794
3.869000,0.050278,0.186748,9.847351,-0.003728,-0.001598,0.004794
3.870000,0.047884,0.181959,9.849746,-0.002663,-0.001065,0.005859
3.872000,0.052672,0.179565,9.849746,-0.003196,-0.000533,0.004794
3.873000,0.050278,0.177171,9.844957,-0.003196,-0.000533,0.004261
3.874000,0.038307,0.172383,9.844957,-0.003728,-0.001065,0.004794
3.875000,0.040701,0.172383,9.842563,-0.004261,-0.001598,0.004794
3.877000,0.057461,0.181959,9.837775,-0.004794,-0.000533,0.005859
3.878000,0.050278,0.179565,9.849746,-0.004261,0.000000,0.005859
3.879000,0.045490,0.174777,9.852140,-0.004261,-0.000533,0.005859
3.880000,0.050278,0.172383,9.840169,-0.004794,-0.000533,0.005326
3.882000,0.033519,0.181959,9.847351,-0.003728,0.000000,0.004794
3.883000,0.033519,0.186748,9.854534,-0.003728,-0.000533,0.004794
3.884000,0.045490,0.184354,9.861717,-0.003728,-0.001065,0.004794
3.885000,0.045490,0.181959,9.854534,-0.003728,0.000000,0.004794
3.887000,0.038307,0.177171,9.842563,-0.003196,0.000000,0.004794
3.888000,0.040701,0.169988,9.854534,-0.003196,-0.000533,0.005326
3.889000,0.045490,0.165200,9.844957,-0.002663,-0.000533,0.005326
3.890000,0.045490,0.169988,9.837775,-0.002663,-0.000533,0.004794
3.892000,0.045490,0.172383,9.849746,-0.002663,-0.001065,0.005326
3.893000,0.043096,0.179565,9.849746,-0.002663,-0.001065,0.005326
3.894000,0.038307,0.174777,9.844957,-0.002663,-0.001065,0.005326
